SEED 126
INIT_TIME 0
FIN_TIME 10000
ARRIVE_MIN 20
ARRIVE_MAX 80
QUIT_PROB 0.200000
NETWORK_PROB 0.500000
CPU_MIN 5
CPU_MAX 50
DISK1_MIN 50
DISK1_MAX 200
DISK2_MIN 50
DISK2_MAX 200
NETWORK_MIN 300
NETWORK_MAX 500
At time 0, simulations STARTS.
At time 5795, process 122, exits the SYSTEM.
At time 5808, process 124, arrival.
At time 5808, process 124, arrives at cpu.
At time 5816, process 33, exits the network.
At time 5816, process 30, arrives at network.
At time 5834, process 124, exits the cpu.
At time 5834, process 124, arrives at disk2.
At time 5834, process 33, arrives at cpu.
At time 5842, process 33, exits the cpu.
At time 5848, process 123, exits the disk1.
At time 5848, process 123, arrives at cpu.
At time 5860, process 123, exits the cpu.
At time 5860, process 123, exits the SYSTEM.
At time 5881, process 125, arrival.
At time 5881, process 125, arrives at cpu.
At time 5896, process 125, exits the cpu.
At time 5896, process 125, exits the SYSTEM.
At time 5937, process 126, arrival.
At time 5937, process 126, arrives at cpu.
At time 5956, process 126, exits the cpu.
At time 5956, process 126, arrives at disk1.
At time 5977, process 127, arrival.
At time 5977, process 127, arrives at cpu.
At time 5982, process 124, exits the disk2.
At time 5982, process 33, arrives at disk2.
At time 6003, process 127, exits the cpu.
At time 6003, process 124, arrives at cpu.
At time 6009, process 128, arrival.
At time 6030, process 124, exits the cpu.
At time 6030, process 128, arrives at cpu.
At time 6033, process 129, arrival.
At time 6043, process 128, exits the cpu.
At time 6043, process 128, exits the SYSTEM.
At time 6043, process 129, arrives at cpu.
At time 6053, process 129, exits the cpu.
At time 6095, process 130, arrival.
At time 6095, process 130, arrives at cpu.
At time 6120, process 126, exits the disk1.
At time 6120, process 124, arrives at disk1.
At time 6123, process 33, exits the disk2.
At time 6123, process 127, arrives at disk2.
At time 6134, process 130, exits the cpu.
At time 6134, process 130, exits the SYSTEM.
At time 6134, process 126, arrives at cpu.
At time 6158, process 131, arrival.
At time 6183, process 126, exits the cpu.
At time 6183, process 33, arrives at cpu.
At time 6189, process 33, exits the cpu.
At time 6189, process 131, arrives at cpu.
At time 6203, process 132, arrival.
At time 6216, process 131, exits the cpu.
At time 6216, process 132, arrives at cpu.
At time 6225, process 132, exits the cpu.
